Title,Company,Location,Salary,Job Type,Description,Date Posted
Merchandising Store Associate,Walmart Canada,"St. John's, NL",N/A,Full-time,  ,30
Maintenance Custodian - Permanent hrs/week,Newfoundland & Labrador English School District,"St. John's, NL",21.2,"Full-time
+1",  ,4
"Communications and Engagement Lead, Toqlukuti’k Wind and Hydrogen",ABO Wind Canada,"St. John's, NL",N/A,Full-time, ,25
Clerk A,Newfoundland & Labrador Housing Corporation,"Corner Brook, NL",26.63,,  ,30
Materials Assistant,Vale Canada,"Long Harbour-Mount Arlington Heights, NL",N/A,Full-time,  ,17
Intervention Specialists / Operators,Schlumberger,"Mount Pearl, NL",N/A,Full-time,  ,1
Call Taker/Dispatcher,Mr. Rooter Plumbing / Mr.Electric of St. John's...,"St. John's, NL",18.5,Full-time, ,4
"General Applicant- Gander, NL, Canada",D-J Engineering,"Gander, NL",N/A,Full-time, ,30
Cargo Agent,Air Borealis,"Happy Valley-Goose Bay, NL",N/A,Full-time,  ,1
Food Services,NL Health Services,"St. John's, NL",N/A,, ,30
Settlement Officer,Association for New Canadians,"St. John's, NL",N/A,Full-time,  ,1
Purchasing Analyst,Purity Factories Ltd.,"St. John's, NL",N/A,Full-time, ,30
"Test Center Manager - St. John's, NL",Pearson,"St. John's, NL",20.0,Part-time,  ,2
Housekeeping Room Attendant,Holiday Inn Express & Suites St. John's Airport,"St. John's, NL",16.75,"Full-time
+1",  ,11
Medical Receptionist,People Stuff,"St. John's, NL",20.0,Full-time, ,9
Housekeeping Room Attendant,Holiday Inn Express & Suites St. John's Airport,"St. John's, NL",16.75,"Full-time
+1",Provides superior customer service and has the passion to want to make our guests feel at home. This role will contribute to the overall success of the Hotel by…   ,11
HSE Officers,Master Drilling Group,"Nain, NL",100.0,Full-time,"Under the supervision of the project manager, The HSE Officer is to provide the necessary resources and support required to enable field personal to meet all…  ",30
Equipment Operator - Seasonal,City Of Mount Pearl,"Mount Pearl, NL",32.6,Seasonal,Thorough experience in operating a variety of heavy equipment found within a municipal environment supplemented by graduation from high school OR considerable…   ,30
Food Bank Coordinator,MacMorran Community Center,"St. John's, NL",18.57,Full-time,Meeting with foodbanks to determine needs and gain an understanding of issues. Ongoing meetings with the coalition partners to report on progress.  ,4
St. John's Office Support Assistant,McInnes Cooper,"St. John's, NL",N/A,Full-time,"Back-up reception coverage, which includes greeting clients, answering the phone and redirecting calls, managing boardroom bookings and setup; and,.   ",29
Apprentice,Otis,"St. John's, NL",N/A,Full-time,The elevator trade requires a variety of skill sets for individuals to be successful in the field. Applicants must have attended post-secondary schooling in…   ,30
Food Service Worker II,NL Health Services,"St. John's, NL",21.0,Full-time,The successful candidate will be required to provide a satisfactory Certificate of Conduct from the RCMP or local Police (Vulnerable Sector Check may be…  ,14
Administrative Assistant - Human Resources hours per week,Newfoundland & Labrador English School District,"St. John's, NL",N/A,Part-time,"Reporting to the Senior Management Official – Human Resources, this provincial position involves executive level clerical and administrative support duties.   ",1
Customer Service Representative -ACT,Circle K,"St. John's, NL",N/A,,"You will greet customers, run the cash register, make purchase suggestions and sometimes work with our food program. Years of service Recognition program.   ",30
Junior Hydrogeologist (23052),GEMTEC Consulting Engineers and Scientists Limited,"Mount Pearl, NL",N/A,Full-time,"This position involves a significant component of fieldwork, and will be approximately 80% field-based and 20% office-based.   ",30
Aircraft De-icer,Inland Group,"St. John's, NL",1.0,Full-time,"Valid driver’s license and driving record that meets Company insurance standards; Abide by Inland’s procedural handbooks, operational plans, and directives of…   ",3
administration officer,Golden Harbor Trading Inc,"St. John's, NL",25.0,"Full-time
+1",Hours: 40 hours per week.  ,18
Overnight Crew Member,McDonald's,"St. John's, NL",N/A,,"Greeting guests, taking orders and processing payments. Managing delivery and mobile orders. Assembling orders and packaging take-out and delivery.   ",30
